Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
233,Zach LaVine,SG,28,CHI,11,11,386,79,193,0.409,25,81,0.309,54,112,0.482,0.474,58,66,0.879,5,48,53,33,9,3,23,22,241,lavinza01
234,Saben Lee,PG,24,PHO,3,0,10,3,6,0.5,0,1,0,3,5,0.6,0.5,0,0,,2,1,3,3,0,1,0,1,6,leesa01
235,Alex Len,C,30,SAC,6,0,41,6,8,0.75,0,1,0,6,7,0.857,0.75,3,7,0.429,7,9,16,5,1,5,2,2,15,lenal01
236,Kawhi Leonard,SF,32,LAC,10,10,339,77,168,0.458,25,59,0.424,52,109,0.477,0.533,26,34,0.765,11,41,52,37,17,4,17,17,205,leonaka01
237,Caris LeVert,SG,29,CLE,9,1,298,59,138,0.428,19,54,0.352,40,84,0.476,0.496,34,46,0.739,5,34,39,35,10,4,13,18,171,leverca01
238,Kira Lewis Jr.,PG,22,NOP,10,0,115,13,40,0.325,1,13,0.077,12,27,0.444,0.338,8,9,0.889,3,7,10,16,4,1,5,7,35,lewiski01
239,Maxwell Lewis,SF,21,LAL,4,0,18,0,3,0,0,0,,0,3,0,0,0,0,,0,1,1,0,0,0,1,0,0,lewisma05
240,E.J. Liddell,PF,23,NOP,3,0,9,1,4,0.25,0,3,0,1,1,1,0.25,2,2,1,0,2,2,0,0,1,1,1,4,liddeej01
241,Damian Lillard,PG,33,MIL,8,8,268,47,127,0.37,18,67,0.269,29,60,0.483,0.441,70,75,0.933,6,28,34,38,8,1,23,9,182,lillada01
242,Nassir Little,PF,23,PHO,5,0,58,6,14,0.429,3,10,0.3,3,4,0.75,0.536,4,4,1,1,6,7,1,5,1,2,8,19,littlna01
243,Dereck Lively II,C,19,DAL,10,9,241,36,51,0.706,0,2,0,36,49,0.735,0.706,11,19,0.579,26,43,69,11,6,10,9,36,83,livelde01
244,Chris Livingston,SF,20,MIL,2,0,9,2,2,1,1,1,1,1,1,1,1.25,0,0,,0,0,0,1,0,0,0,0,5,livinch01
245,Kenneth Lofton Jr.,PF,21,MEM,7,0,59,7,18,0.389,2,5,0.4,5,13,0.385,0.444,3,10,0.3,2,7,9,7,2,2,3,11,19,loftoke01
246,Kevon Looney,C,27,GSW,12,11,287,29,47,0.617,0,0,,29,47,0.617,0.617,8,10,0.8,38,71,109,34,10,5,12,35,66,looneke01
247,Brook Lopez,C,35,MIL,10,10,263,35,86,0.407,18,51,0.353,17,35,0.486,0.512,8,12,0.667,11,31,42,7,8,22,11,22,96,lopezbr01
248,Robin Lopez,C,35,MIL,1,0,6,0,0,,0,0,,0,0,,,2,2,1,0,0,0,1,0,0,1,0,2,lopezro01
249,Kevin Love,PF,35,MIA,6,3,108,13,39,0.333,9,30,0.3,4,9,0.444,0.449,12,14,0.857,4,29,33,10,1,0,4,10,47,loveke01
250,Kyle Lowry,PG,37,MIA,10,10,295,23,55,0.418,18,42,0.429,5,13,0.385,0.582,8,8,1,9,33,42,48,12,3,18,27,72,lowryky01
251,Théo Maledon,PG,22,CHO,10,1,188,19,64,0.297,5,29,0.172,14,35,0.4,0.336,11,12,0.917,4,19,23,23,7,0,14,17,54,maledth01
252,Sandro Mamukelashvili,C,24,SAS,3,0,19,2,5,0.4,0,3,0,2,2,1,0.4,1,2,0.5,4,3,7,1,1,0,0,2,5,mamuksa01
253,Terance Mann,SG,27,LAC,4,0,104,8,18,0.444,2,8,0.25,6,10,0.6,0.5,0,0,,8,11,19,12,0,0,4,10,18,mannte01
254,Tre Mann,PG,22,OKC,4,0,20,7,11,0.636,2,5,0.4,5,6,0.833,0.727,1,1,1,1,5,6,4,1,0,2,0,17,manntr01
